panel,series,sweep_name,sweep_value,realization,sigma2_noise,sigma_noise,lambda,kappa,beta_hat_1,beta_hat_2,E_gen,R2_gen,z,E_acc_over_S,R2_acc
fixed_lambda,representative_path,sigma2,0.0,3,0.0,0.0,0.05,0.05179536610433671,1.0038830918106683,0.18183967167797244,0.01800542376045999,0.9853244569561822,-0.14856861698046464,0.03044772534459687,0.9779273660485119
fixed_lambda,representative_path,sigma2,0.0001,3,0.0001,0.01,0.05,0.05179536610433671,1.0030283594690663,0.18664801011067678,0.017991301728636458,0.9853359672926592,-0.15004178500949428,0.031162284833565864,0.9774874627511647
fixed_lambda,representative_path,sigma2,0.00011416309914166939,3,0.00011416309914166939,0.010684713339237014,0.05,0.05179536610433671,1.002969834805489,0.18697724345712072,0.017990455880736778,0.985336656711438,-0.1501410378566298,0.031210815043332923,0.9774576687513341
fixed_lambda,representative_path,sigma2,0.00013033213205630633,3,0.00013033213205630633,0.011416309914166938,0.05,0.05179536610433671,1.0029073028801294,0.18732901984996758,0.01798956926893061,0.9853373793553423,-0.15024685813718197,0.03126261052683863,0.9774258816199055
fixed_lambda,representative_path,sigma2,0.00014879120113289246,3,0.00014879120113289246,0.012197999882476326,0.05,0.05179536610433671,1.002840489310427,0.18770488284167575,0.017988641531374413,0.985338135519297,-0.15035966326581884,0.03131788637342218,0.9773919716625896
fixed_lambda,representative_path,sigma2,0.00016986464646342474,3,0.00016986464646342474,0.013033213205630634,0.05,0.05179536610433671,1.0027691009264836,0.18810648167379876,0.01798767262551462,0.9853389252379863,-0.15047989469065892,0.03137687112750247,0.9773558012938882
fixed_lambda,representative_path,sigma2,0.00019392274474868578,3,0.00019392274474868578,0.013925614699132163,0.05,0.05179536610433671,1.0026928244846647,0.18853557851365937,0.017986662898681213,0.9853397482283143,-0.15060801889971953,0.03143980751446877,0.9773172246431017
fixed_lambda,representative_path,sigma2,0.00022138821534568862,3,0.00022138821534568862,0.014879120113289247,0.05,0.05179536610433671,1.0026113252931275,0.1889940561865277,0.01798561317041507,0.9853406038223042,-0.15074452840681718,0.0315069531853273,0.9772760871554063
fixed_lambda,representative_path,sigma2,0.000252743647773071,3,0.000252743647773071,0.015897913315057136,0.05,0.05179536610433671,1.0025242457432317,0.18948392643723147,0.017984524828312667,0.9853414908889782,-0.15088994270309297,0.031578581476316855,0.9772322251910573
fixed_lambda,representative_path,sigma2,0.0002885399811814427,3,0.0002885399811814427,0.016986464646342472,0.05,0.05179536610433671,1.0024312037403975,0.19000733875745054,0.017983399939427953,0.9853424077435586,-0.1510448091576514,0.031654982178568124,0.9771854656265286
fixed_lambda,representative_path,sigma2,0.00032940618477952466,3,0.00032940618477952466,0.01814955053932534,0.05,0.05179536610433671,1.0023317910275182,0.19056658981742708,0.01798224137957192,0.9853433520420801,-0.15120970384775045,0.03173646231153651,0.9771356254622756
fixed_lambda,representative_path,sigma2,0.00037606030930863936,3,0.00037606030930863936,0.019392274474868576,0.05,0.05179536610433671,1.0022255713935788,0.19116413354347847,0.017981052983188445,0.9853443206592318,-0.15138523229542222,0.03182334689230288,0.9770825114428611
fixed_lambda,representative_path,sigma2,0.00042932210374849053,3,0.00042932210374849053,0.020720089375977375,0.05,0.05179536610433671,1.0021120787596152,0.19180259188553045,0.017979839716876514,0.985345309546926,-0.15157203008332765,0.03191597969088738,0.9770259196964188
fixed_lambda,representative_path,sigma2,0.0004901274189394899,3,0.0004901274189394899,0.02213882153456886,0.05,0.05179536610433671,1.0019908151336132,0.1924847663219173,0.017978607880074025,0.9853463135707279,-0.1517707633179587,0.032014723959387134,0.9769656354018842
fixed_lambda,representative_path,sigma2,0.0005595446512043951,3,0.0005595446512043951,0.023654696176539557,0.05,0.05179536610433671,1.0018612484253826,0.1932136501519323,0.01797736533692534,0.9853473263208694,-0.15198212890289675,0.03211996311994999,0.9769014324941433
fixed_lambda,representative_path,sigma2,0.0006387935148963817,3,0.0006387935148963817,0.025274364777307098,0.05,0.05179536610433671,1.0017228101118074,0.19399244163006368,0.017976121783940317,0.9853483398940905,-0.1522068545786508,0.03223210139326399,0.9768330734192735
fixed_lambda,representative_path,sigma2,0.000729266473721711,3,0.000729266473721711,0.02700493424768353,0.05,0.05179536610433671,1.0015748927422352,0.19482455799955134,0.017974889058714673,0.9853493446420126,-0.15244569867851487,0.032351564345270686,0.9767603089544195
fixed_lambda,representative_path,sigma2,0.0008325532074018732,3,0.0008325532074018732,0.02885399811814427,0.05,0.05179536610433671,1.0014168472730582,0.19571365048683748,0.017973681495743354,0.9853503288811286,-0.15269944954174508,0.03247879932506581,0.976682878109648
fixed_lambda,representative_path,sigma2,0.0009504685435733489,3,0.0009504685435733489,0.03082966985832558,0.05,0.05179536610433671,1.0012479802197858,0.19666362032270956,0.017972516336228334,0.9853512785587837,-0.15296892451610278,0.032614275761333224,0.9766005081323869
fixed_lambda,representative_path,sigma2,0.0010850843457100234,3,0.0010850843457100234,0.03294061847795247,0.05,0.05179536610433671,1.0010675506141204,0.19767863586043116,0.017971414199772856,0.9853521768687156,-0.15325496847117948,0.03275848527795034,0.9765129146388978
fixed_lambda,representative_path,sigma2,0.0012387659173636685,3,0.0012387659173636685,0.0351961065654096,0.05,0.05179536610433671,1.0008747667526756,0.19876315086597388,0.01797039962699264,0.9853530038087924,-0.15355845173185367,0.032911941581474626,0.976419801901716
fixed_lambda,representative_path,sigma2,0.0014142135623730952,3,0.0014142135623730952,0.03760603093086394,0.05,0.05179536610433671,1.000668782723079,0.19992192406060633,0.01796950170336719,0.9853537356725347,-0.15388026732743243,0.03307518006379462,0.9763208633272379
fixed_lambda,representative_path,sigma2,0.001614510031286931,3,0.001614510031286931,0.040180966032276166,0.05,0.05179536610433671,1.0004486946922084,0.20116004000159018,0.017968754776140114,0.9853543444647974,-0.15422132743636274,0.0332487570520869,0.9762157821637661
fixed_lambda,representative_path,sigma2,0.0018431746876702965,3,0.0018431746876702965,0.04293221037484905,0.05,0.05179536610433671,1.0002135369402838,0.20248293139260554,0.01796819927776634,0.9853547972306086,-0.15458255888855366,0.03343324862502921,0.9761042324874668
fixed_lambda,representative_path,sigma2,0.0021042253460391955,3,0.0021042253460391955,0.04587183608750794,0.05,0.05179536610433671,0.9999622776234024,0.20389640292179995,0.017967882671341598,0.9853550552845859,-0.15496489756711562,0.03362924889865865,0.9759858805220134
fixed_lambda,representative_path,sigma2,0.0024022488679628627,3,0.0024022488679628627,0.04901274189394899,0.05,0.05179536610433671,0.9996938142459333,0.20540665673206143,0.01796786053565588,0.9853550733265499,-0.15536928152835117,0.033837367666909916,0.9758603863573639
